Modelos,Error,Std error,Ajuste,Std ajuste
Modelo 1,0.0135,0.002129162589689508,0.9953,0.00014907119850000267
Modelo 2,0.011449999999999998,0.0035724874620727035,0.9954,0.0002983286778035378
Modelo 3,0.013999999999999999,0.002548725171531838,0.9951,0.00024494897427833107
