Iteraciones,Modelo 1,Modelo 2,Modelo 3
0,0.9955357313156128,0.9953571557998657,0.9950714111328125
1,0.995160698890686,0.9952142834663391,0.9957143068313599
2,0.9953749775886536,0.9956071376800537,0.995035707950592
3,0.9951785802841187,0.9953749775886536,0.9953035712242126
4,0.9953571557998657,0.9961428642272949,0.995107114315033
5,0.9953214526176453,0.9950535893440247,0.9955178499221802
6,0.9951428771018982,0.9956250190734863,0.9952678680419922
7,0.9951428771018982,0.99528568983078,0.9950178861618042
8,0.9955178499221802,0.9955357313156128,0.9950178861618042
9,0.9953035712242126,0.995107114315033,0.9950178861618042
