,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2133,0.2533376216888428,0.07006703317165375,0.05286107584834099,0.0414000041782856,0.032950419932603836,0.028571607545018196,0.026851380243897438,0.022607926279306412,0.0207256730645895,0.01797482930123806,0.01833939738571644,,,,
9086,0.3082990050315857,0.06680113822221756,0.05205654725432396,0.04463740810751915,0.03663020581007004,0.030407583341002464,0.024255214259028435,0.024971166625618935,0.019808927550911903,0.017742279917001724,0.016451958566904068,,,,
1450,0.29466667771339417,0.07517571747303009,0.056805677711963654,0.04621545970439911,0.03689226508140564,0.032879799604415894,0.027875719591975212,0.02578764595091343,0.022922437638044357,0.018683725968003273,0.01722966693341732,0.018475275486707687,0.014790786430239677,,
2905,0.24750982224941254,0.06946362555027008,0.053009744733572006,0.04380399361252785,0.036080699414014816,0.031215772032737732,0.029345838353037834,0.024910759180784225,0.020116258412599564,0.020003898069262505,0.019846441224217415,0.017243245616555214,0.014036005362868309,,
9478,0.2634729743003845,0.06971403956413269,0.05139367654919624,0.04386343061923981,0.036751531064510345,0.031653329730033875,0.026067204773426056,0.022142978385090828,0.020925166085362434,0.02102276310324669,0.016905421391129494,,,,
2219,0.3186052739620209,0.07009316980838776,0.05396336689591408,0.042878732085227966,0.036961764097213745,0.03035096451640129,0.025005580857396126,0.023623893037438393,0.020594095811247826,0.020058052614331245,0.01669522374868393,,,,
4718,0.30530598759651184,0.0700996145606041,0.05387864634394646,0.041592907160520554,0.03513333946466446,0.030387498438358307,0.027741312980651855,0.025626951828598976,0.02095361053943634,0.019065100699663162,0.01777551881968975,0.013849843293428421,,,
7276,0.31411212682724,0.07869189232587814,0.05844881758093834,0.0493776760995388,0.04043532907962799,0.03506557643413544,0.029026374220848083,0.02600700967013836,0.02289159782230854,0.02065747231245041,0.0181660745292902,0.01920871064066887,0.016251757740974426,,
1755,0.2685106098651886,0.07104839384555817,0.05357209965586662,0.044425126165151596,0.03635813295841217,0.032012082636356354,0.027431797236204147,0.020934486761689186,0.020660463720560074,0.01940043829381466,0.015293925069272518,,,,
436,0.23496262729167938,0.07110203057527542,0.05256389454007149,0.04450290650129318,0.03645859658718109,0.030435027554631233,0.027558714151382446,0.023951169103384018,0.020252931863069534,0.018371351063251495,0.01678636111319065,0.016767369583249092,0.015277490019798279,,
4285,0.3975091874599457,0.08576108515262604,0.0625387653708458,0.04721707105636597,0.041726239025592804,0.03500397875905037,0.028404705226421356,0.02696174755692482,0.023789770901203156,0.019952502101659775,0.01932518370449543,0.018682198598980904,0.017339885234832764,0.016540734097361565,
9733,0.24854198098182678,0.0738435611128807,0.0547402985394001,0.046858616173267365,0.037405163049697876,0.03203153237700462,0.02858611010015011,0.02437211200594902,0.021380405873060226,0.018768135458230972,0.018671834841370583,0.015278459526598454,,,
3835,0.29580599069595337,0.06776441633701324,0.05127670615911484,0.04146070033311844,0.03502453491091728,0.029270080849528313,0.026104195043444633,0.022682292386889458,0.019972311332821846,0.018454506993293762,0.01540509145706892,,,,
2885,0.3340502083301544,0.07800686359405518,0.05589115992188454,0.04945464804768562,0.03600732982158661,0.03336699679493904,0.027577480301260948,0.025037560611963272,0.021488331258296967,0.01817145012319088,0.016035668551921844,0.015645721927285194,,,
326,0.23923301696777344,0.06935587525367737,0.05235651507973671,0.04048312455415726,0.03744792938232422,0.0317578949034214,0.027482371777296066,0.02162259630858898,0.022113362327218056,0.021084792912006378,0.016636338084936142,,,,
